Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
5,1.5,5001.414999999974,4102.694999999992,4070.434999999996,898.7199999999812,21.9056010744153,-32.25999999999658,-0.7863124117195317,Total PnL
5,2.0,4920.5299999999625,3973.7899999999854,3999.8599999999897,946.739999999977,23.824610762017635,26.070000000004256,0.6560487594967109,Total PnL
5,2.5,4811.04999999995,3985.79499999997,3971.264999999974,825.2549999999801,20.70490328780046,-14.529999999996107,-0.36454458897149045,Total PnL
5,2.75,4677.632499999951,3916.189999999974,3979.164999999978,761.4424999999765,19.443451415788854,62.975000000004,1.6080680457282313,Total PnL
5,3.0,4744.729999999943,3990.259999999967,4052.529999999975,754.4699999999762,18.907790469793508,62.27000000000817,1.5605499391019302,Total PnL
5,3.25,4651.274999999943,3912.1499999999633,3970.739999999973,739.12499999998,18.893063916260548,58.590000000009695,1.4976419615814898,Total PnL
5,3.5,4627.549999999961,4001.58499999998,4066.349999999987,625.964999999981,15.642926490377793,64.76500000000715,1.6184836758436338,Total PnL
5,3.75,4591.632499999965,3955.652499999979,4017.694999999987,635.9799999999859,16.077752027004124,62.04250000000775,1.568451728254898,Total PnL
5,4.0,4565.639999999969,3898.3999999999783,3958.3999999999896,667.2399999999911,17.115739790683225,60.00000000001137,1.5390929612151576,Total PnL
6,1.0,5052.470000000004,4166.27000000005,3872.440000000055,886.1999999999543,21.27082498253699,-293.82999999999447,-7.052591406701701,Total PnL
6,1.5,4981.814999999992,4194.7100000000455,3910.495000000058,787.1049999999468,18.7642292315783,-284.2149999999874,-6.775557785877553,Total PnL
6,2.0,4818.399999999992,4039.110000000038,3808.560000000052,779.2899999999545,19.29360675990372,-230.54999999998608,-5.707940610678687,Total PnL
6,2.5,4649.94499999999,3992.600000000039,3746.470000000053,657.3449999999507,16.464083554574568,-246.129999999986,-6.164654611029995,Total PnL
6,2.75,4548.027499999991,3919.8000000000457,3701.905000000057,628.2274999999454,16.027029440275985,-217.8949999999886,-5.55882953211863,Total PnL
6,3.0,4502.079999999987,3872.3300000000418,3796.460000000056,629.7499999999454,16.262818509784513,-75.8699999999858,-1.9592854947792406,Total PnL
6,3.25,4413.547499999981,3802.5375000000367,3731.3800000000538,611.0099999999438,16.06848058697483,-71.15749999998297,-1.8713161934624518,Total PnL
6,3.5,4391.5999999999785,3794.760000000044,3719.800000000056,596.8399999999347,15.728003879031288,-74.95999999998776,-1.9753554902019335,Total PnL
6,3.75,4336.564999999983,3733.575000000046,3649.550000000053,602.989999999937,16.150472402454206,-84.02499999999327,-2.250523961618348,Total PnL
6,4.0,4617.299999999992,3695.760000000048,3594.6900000000624,921.539999999944,24.935060718226616,-101.06999999998561,-2.7347555036037052,Total PnL
7,1.0,4214.869999999986,3902.389999999996,3821.2799999999934,312.47999999999047,8.007400592969715,-81.1100000000024,-2.0784698607776897,Total PnL
7,1.5,4094.9199999999887,3897.980000000003,3828.215,196.9399999999855,5.052360453362647,-69.76500000000306,-1.7897731645622348,Total PnL
